Hotel_Name,Price,Rating,Reviews,City,Rating_status
HOTEL FLOURISH INTERNATIONAL,3780,,0,Ahmedabad,No Rating
Hotel Prime Villa Gurukul,1574,,0,Ahmedabad,No Rating
"Itsy By Treebo - Signature, Nehru Nagar",1830,,0,Ahmedabad,No Rating
Hotel Orchid Inn,1496,,0,Ahmedabad,No Rating
Hotel Sparsh Inn,1607,,0,Ahmedabad,No Rating
Hotel phoniex,1294,,0,Ahmedabad,No Rating
FabHotel Hill Top Inn,1810,10,2,Ahmedabad,High
HOTEL AURELLIA,2744,,0,Ahmedabad,No Rating
Treebo Grand Shivay,1883,,0,Ahmedabad,No Rating
Hotel Pearl Villa,1871,,0,Ahmedabad,No Rating
Sterling Greenwoods - Ahmedabad,6142,,0,Ahmedabad,No Rating
OYO Hotel Green Valley,1669,,0,Ahmedabad,No Rating
Hotelmaple tree,2890,,0,Ahmedabad,No Rating
Suba Star,6159,,0,Ahmedabad,No Rating
Hotel Nova Prime,1470,,0,Ahmedabad,No Rating
Treebo KBC,2600,,0,Ahmedabad,No Rating
Hotel The Lead,1323,,0,Ahmedabad,No Rating
FabHotel Malva,1109,,0,Ahmedabad,No Rating
Hotel Skyland,2099,,0,Ahmedabad,No Rating
Nisarg’s stays,3464,,0,Ahmedabad,No Rating
Hotel Royal Look,1680,,0,Ahmedabad,No Rating
Super Collection O Maninagar East Formerly Maninagar Residency,1782,,0,Ahmedabad,No Rating
Hotel Mahaveer,2099,,0,Ahmedabad,No Rating
Charyana Hotel And Serviced Apartments,838,,0,Ahmedabad,No Rating
Hotel RK,1259,,0,Ahmedabad,No Rating
Hotel The Grand Crystal,2268,,0,Ahmedabad,No Rating
Hotel Haveli,2644,10,3,Ahmedabad,High
Super Hotel O N R,1351,,0,Ahmedabad,No Rating
HOTEL SHALIGRAM,3360,,0,Ahmedabad,No Rating
Hotel Grand Unity,1963,,0,Ahmedabad,No Rating
"Treebo Eden Park, Ahmedabad",1661,,0,Ahmedabad,No Rating
Hotel Shobhna Palace,1134,,0,Ahmedabad,No Rating
Hotel Regenta Ahmedabad,11788,,0,Ahmedabad,No Rating
Hotel Dhara,6150,,0,Ahmedabad,No Rating
Life At REPOSE- Lake Villas Resort & Club,11065,,0,Ahmedabad,No Rating
Hotel Longstay,1488,,0,Ahmedabad,No Rating
Hotel Sun Shine,2835,,0,Ahmedabad,No Rating
Hotel M Town,1784,,0,Ahmedabad,No Rating
Hotel Sky Gold,2975,,0,Ahmedabad,No Rating
FabHotel Bliss,1757,,0,Ahmedabad,No Rating
Collection O 81376 Hotel The Stay Lions,1677,,0,Ahmedabad,No Rating
Hotel Elite Inn,1782,,0,Ahmedabad,No Rating
The Grand Eden,3402,,0,Ahmedabad,No Rating
Hotel Midnight,1276,,0,Ahmedabad,No Rating
Hotel Ayaank,1860,,0,Ahmedabad,No Rating
Hotel Velvet Park,1443,,0,Ahmedabad,No Rating
FabHotel Symphony Grand,1471,,0,Ahmedabad,No Rating
HOTEL AKASH,1692,,0,Ahmedabad,No Rating
Hotel Vimal Inn,2480,,0,Ahmedabad,No Rating
Hotel Sai Villa,2083,,0,Ahmedabad,No Rating
Hotel the legend,17700,,0,Ahmedabad,No Rating
Hotel Pratiksha,1058,,0,Ahmedabad,No Rating
Hotel Lake Palace By G L Group,1797,,0,Ahmedabad,No Rating
"Hotel The Rajshree, Ashram Rd",1133,,0,Ahmedabad,No Rating
Hotel Penark,1332,,0,Ahmedabad,No Rating
Krsna Lila By The Blues,4489,,0,Ahmedabad,No Rating
Ambience,3401,,0,Ahmedabad,No Rating
Hotel Paradise Naroda,1222,,0,Ahmedabad,No Rating
"The Sky Comfort, Vejalpur",2789,,0,Ahmedabad,No Rating
Hotel Swastik Inn,791,,0,Ahmedabad,No Rating
Hotel Asiana,1284,,0,Ahmedabad,No Rating
Quick Bite,2079,,0,Ahmedabad,No Rating
Hotel Nest View,1259,,0,Ahmedabad,No Rating
Royal Night,1512,,0,Ahmedabad,No Rating
Shreenath,1356,,0,Ahmedabad,No Rating
Radheyinn,1516,,0,Ahmedabad,No Rating
Nilkanth Pg Rooms,3675,,0,Ahmedabad,No Rating
Pearl of Heaven,3024,,0,Ahmedabad,No Rating
Hotel Legacy,1579,,0,Ahmedabad,No Rating
Hotel Royal Comfort,3620,,0,Ahmedabad,No Rating
Hotel Just Inn,1489,,0,Ahmedabad,No Rating
Metropole,1337,,0,Ahmedabad,No Rating
Hotel Marina,1437,,0,Ahmedabad,No Rating
Hotel Green Fortune,4073,,0,Ahmedabad,No Rating
Hotel Shree Radhe,1766,,0,Ahmedabad,No Rating
Hotel Divya Palace,1512,,0,Ahmedabad,No Rating
Hotel Everest,2413,,0,Ahmedabad,No Rating
Hotel Avenue Plaza,2835,,0,Ahmedabad,No Rating
Charyana Lady Dorms,626,,0,Ahmedabad,No Rating
Hotel Asiana Sky,1615,,0,Ahmedabad,No Rating
The grand piano hotel,2655,,0,Ahmedabad,No Rating
"Clarks Safari Kheda ,ahmedabad",2667,,0,Ahmedabad,No Rating
Radhe Group,3909,,0,Ahmedabad,No Rating
Royal Home Stay,2147,,0,Ahmedabad,No Rating
Dev Aadi,3041,,0,Ahmedabad,No Rating
Hotel Shivashish,1785,,0,Ahmedabad,No Rating
